,community,Total population,female_total,white_total,Black or African American total,Asian total,Hispanic or Latino Origin total,poverty total,population below 35 years old total,unemployment total for people over 16 years old,people over 16 years old total,school enrollment total for population over 3 years old,population over 3 years old total,Family Income Last Year,longitude,latitude,female_ratio,white_ratio,Black or African American ratio,Asian ratio,Hispanic or Latino Origin ratio,poverty ratio,population below 35 years old ratio,unemploymen ratio,school enrollment ratio
28,Presidio,2728,1538,1694,62,201,753,91,356,67,1754,603,2526,551.0,-122.4764214,37.7960535,0.5637829912023461,0.6209677419354839,0.022727272727272728,0.07368035190615836,0.2760263929618768,0.033357771260997066,0.13049853372434017,0.03819840364880274,0.23871733966745842
29,Presidio Heights,4487,2408,3401,56,620,279,374,513,67,2195,885,4295,226.4,-122.45218138,37.78862198,0.5366614664586583,0.7579674615556051,0.0124804992199688,0.13817695564965457,0.06217963004234455,0.08335190550479162,0.11433028749721418,0.03052391799544419,0.2060535506402794
30,Russian Hill,4282,2099,2849,0,1262,245,225,111,52,2841,307,4262,322.0,-122.41546090000001,37.801222833333334,0.4901914992993928,0.6653432975245213,0.0,0.29472209248014947,0.05721625408687529,0.05254553946753853,0.02592246613731901,0.018303414290742698,0.07203190990145472
31,Seacliff,2416,1247,1652,29,537,105,81,299,23,1186,596,2321,216.33333333333334,-122.48562643333334,37.78687596666666,0.5161423841059603,0.6837748344370861,0.012003311258278146,0.2222682119205298,0.04346026490066225,0.03352649006622516,0.12375827814569536,0.0193929173693086,0.25678586816027577
32,South of Market,4821,2206,1517,388,2147,883,1098,191,271,2696,347,4788,225.75,-122.39953435,37.780140075,0.45758141464426466,0.3146650072599046,0.08048122796100395,0.4453432897739058,0.18315702136486206,0.22775357809583074,0.039618336444721014,0.1005192878338279,0.07247284878863826
33,Sunset/Parkside,64708,33117,21431,1071,34350,5285,4399,5875,1989,37243,13483,62975,297.2857142857143,-122.4929733387755,37.75037285714286,0.5117914322803981,0.3311955245101069,0.01655127650367806,0.5308462632132039,0.08167459974037214,0.06798232057859925,0.09079248315509675,0.05340600918293371,0.21410083366415245
34,Tenderloin,6091,2710,2421,609,2027,959,1683,243,265,2934,530,5940,110.0,-122.41400847142857,37.785561185714286,0.4449187325562305,0.3974716795271712,0.09998358233459202,0.332786077819734,0.15744541126251846,0.27630930881628635,0.039894926941388936,0.09032038173142468,0.08922558922558922
35,Twin Peaks,5889,2570,3166,498,1284,895,525,177,133,2905,677,5846,220.0,-122.45055970000001,37.75138364,0.43640686024791986,0.5376124978773985,0.08456444218033622,0.21803362200713194,0.15197826456104602,0.0891492613346918,0.030056036678553236,0.04578313253012048,0.11580567909681834
36,Visitacion Valley,19875,9830,2975,1807,10364,4930,2614,2456,727,10866,4722,19326,339.5833333333333,-122.41153200833332,37.71275394166667,0.49459119496855347,0.14968553459119496,0.0909182389937107,0.5214591194968553,0.24805031446540882,0.13152201257861634,0.12357232704402515,0.06690594515000921,0.2443340577460416
37,West of Twin Peaks,38485,19659,19496,894,13566,3311,1057,3873,641,21169,7701,37372,333.5483870967742,-122.4606468483871,37.735807416129035,0.5108223983370144,0.506586981941016,0.02322982980381967,0.35250097440561257,0.08603351955307263,0.027465246199818112,0.1006366116668832,0.0302801266002173,0.20606336294552072
38,Western Addition,12815,5929,6030,1635,3471,1027,1557,609,279,7857,1546,12489,237.4,-122.43133535,37.782499439999995,0.46266094420600856,0.47054233320327743,0.12758486149044088,0.270854467420991,0.08014046039797112,0.12149824424502537,0.04752243464689817,0.035509736540664374,0.1237889342621507
